env,seed,init,rep,ref_path_ids,scenario
physical_lab,1,1,1,3|5|5,CPM_entire
physical_lab,1,1,2,3|5|5,CPM_entire
physical_lab,1,1,3,3|5|5,CPM_entire
physical_lab,1,2,1,6|1|4,CPM_entire
physical_lab,1,2,2,6|1|4,CPM_entire
physical_lab,1,2,3,6|1|4,CPM_entire
physical_lab,1,3,1,3|1|2,CPM_entire
physical_lab,1,3,2,3|1|2,CPM_entire
physical_lab,1,3,3,3|1|2,CPM_entire
physical_lab,2,1,1,3|5|5,CPM_entire
physical_lab,2,1,2,3|5|5,CPM_entire
physical_lab,2,1,3,3|5|5,CPM_entire
physical_lab,2,2,1,6|1|4,CPM_entire
physical_lab,2,2,2,6|1|4,CPM_entire
physical_lab,2,2,3,6|1|4,CPM_entire
physical_lab,2,3,1,3|1|2,CPM_entire
physical_lab,2,3,2,3|1|2,CPM_entire
physical_lab,2,3,3,3|1|2,CPM_entire
physical_lab,3,1,1,3|5|5,CPM_entire
physical_lab,3,1,2,3|5|5,CPM_entire
physical_lab,3,1,3,3|5|5,CPM_entire
physical_lab,3,2,1,6|1|4,CPM_entire
physical_lab,3,2,2,6|1|4,CPM_entire
physical_lab,3,2,3,6|1|4,CPM_entire
physical_lab,3,3,1,3|1|2,CPM_entire
physical_lab,3,3,2,3|1|2,CPM_entire
physical_lab,3,3,3,3|1|2,CPM_entire
digital_twin,1,1,1,4|5|5,CPM_entire
digital_twin,1,1,2,4|5|5,CPM_entire
digital_twin,1,1,3,4|5|5,CPM_entire
digital_twin,1,2,1,6|2|3,CPM_entire
digital_twin,1,2,2,6|2|3,CPM_entire
digital_twin,1,2,3,6|2|3,CPM_entire
digital_twin,1,3,1,4|2|1,CPM_entire
digital_twin,1,3,2,4|2|1,CPM_entire
digital_twin,1,3,3,4|2|1,CPM_entire
digital_twin,2,1,1,4|5|5,CPM_entire
digital_twin,2,1,2,4|5|5,CPM_entire
digital_twin,2,1,3,4|5|5,CPM_entire
digital_twin,2,2,1,6|2|3,CPM_entire
digital_twin,2,2,2,6|2|3,CPM_entire
digital_twin,2,2,3,6|2|3,CPM_entire
digital_twin,2,3,1,4|2|1,CPM_entire
digital_twin,2,3,2,4|2|1,CPM_entire
digital_twin,2,3,3,4|2|1,CPM_entire
digital_twin,3,1,1,4|5|5,CPM_entire
digital_twin,3,1,2,4|5|5,CPM_entire
digital_twin,3,1,3,4|5|5,CPM_entire
digital_twin,3,2,1,6|2|3,CPM_entire
digital_twin,3,2,2,6|2|3,CPM_entire
digital_twin,3,2,3,6|2|3,CPM_entire
digital_twin,3,3,1,4|2|1,CPM_entire
digital_twin,3,3,2,4|2|1,CPM_entire
digital_twin,3,3,3,4|2|1,CPM_entire
sigmarl,1,1,1,3|5|5,CPM_entire
sigmarl,1,1,2,3|5|5,CPM_entire
sigmarl,1,1,3,3|5|5,CPM_entire
sigmarl,1,2,1,6|1|4,CPM_entire
sigmarl,1,2,2,6|1|4,CPM_entire
sigmarl,1,2,3,6|1|4,CPM_entire
sigmarl,1,3,1,3|1|2,CPM_entire
sigmarl,1,3,2,3|1|2,CPM_entire
sigmarl,1,3,3,3|1|2,CPM_entire
sigmarl,2,1,1,3|5|5,CPM_entire
sigmarl,2,1,2,3|5|5,CPM_entire
sigmarl,2,1,3,3|5|5,CPM_entire
sigmarl,2,2,1,6|1|4,CPM_entire
sigmarl,2,2,2,6|1|4,CPM_entire
sigmarl,2,2,3,6|1|4,CPM_entire
sigmarl,2,3,1,3|1|2,CPM_entire
sigmarl,2,3,2,3|1|2,CPM_entire
sigmarl,2,3,3,3|1|2,CPM_entire
sigmarl,3,1,1,3|5|5,CPM_entire
sigmarl,3,1,2,3|5|5,CPM_entire
sigmarl,3,1,3,3|5|5,CPM_entire
sigmarl,3,2,1,6|1|4,CPM_entire
sigmarl,3,2,2,6|1|4,CPM_entire
sigmarl,3,2,3,6|1|4,CPM_entire
sigmarl,3,3,1,3|1|2,CPM_entire
sigmarl,3,3,2,3|1|2,CPM_entire
sigmarl,3,3,3,3|1|2,CPM_entire
